"Nombre del solicitante","Rut del solicitante","Correo","Título de la necesidad","Descripción de la necesidad","Categoría","Tipo de entidad","Comuna","Palabras Clave","Objetivos de Desarrollo Sostenible","Imagen"
"Andrés Martínez","90612421-6","andrésmartínez@correo.com","Armonía y Soluciones para Situaciones Inmediatas","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Duis interdum massa ut ullamcorper euismod. Nunc sed justo et nunc cursus venenatis. Pellentesque accumsan lacus ac purus vestibulum dapibus. Morbi at interdum nisi. Duis finibus pretium augue, in gravida dui ullamcorper vel. Maecenas consectetur ultrices lorem vel placerat. Vestibulum posuere eget magna et pretium. Maecenas tincidunt tortor ut interdum feugiat.","Educación","Privada","Victoria","Salud*Cooperación*Bendición","REDUCCIÓN DE LAS DESIGUALDADES*ALIANZAS PARA LOGRAR LOS OBJETIVOS*INDUSTRIA","https://sivi.ufro.cl/img/home/bloque_fc.png"
"Matias Villagra","451636793-5","matiasvillagra@correo.com","Libertad y Enfrentando Desafíos en Necesidad","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Duis interdum massa ut ullamcorper euismod. Nunc sed justo et nunc cursus venenatis. Pellentesque accumsan lacus ac purus vestibulum dapibus. Morbi at interdum nisi. Duis finibus pretium augue, in gravida dui ullamcorper vel. Maecenas consectetur ultrices lorem vel placerat. Vestibulum posuere eget magna et pretium. Maecenas tincidunt tortor ut interdum feugiat.","Cultura","Comercial","Saavedra","Justicia*Comunidad*Empatía","ALIANZAS PARA LOGRAR LOS OBJETIVOS*VIDA SUBMARINA*ENERGÍA ASEQUIBLE Y NO CONTAMINANTE","https://sivi.ufro.cl/img/home/bloque_fc.png"
"Sofía Rodríguez","405135092-0","sofíarodríguez@correo.com","Viaje en Ayuda en Casos Fundamentales","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Duis interdum massa ut ullamcorper euismod. Nunc sed justo et nunc cursus venenatis. Pellentesque accumsan lacus ac purus vestibulum dapibus. Morbi at interdum nisi. Duis finibus pretium augue, in gravida dui ullamcorper vel. Maecenas consectetur ultrices lorem vel placerat. Vestibulum posuere eget magna et pretium. Maecenas tincidunt tortor ut interdum feugiat.","Educación","Nacional","Curacautín","Paz*Aprendizaje*Cultura","SALUD Y BIENESTAR*HAMBRE CERO*CIUDADES Y COMUNIDADES SOSTENIBLES","https://sivi.ufro.cl/img/home/bloque_fc.png"
"Matias Villagra","141997728-5","matiasvillagra@correo.com","Libertad y Enfrentando Desafíos en Necesidad","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Duis interdum massa ut ullamcorper euismod. Nunc sed justo et nunc cursus venenatis. Pellentesque accumsan lacus ac purus vestibulum dapibus. Morbi at interdum nisi. Duis finibus pretium augue, in gravida dui ullamcorper vel. Maecenas consectetur ultrices lorem vel placerat. Vestibulum posuere eget magna et pretium. Maecenas tincidunt tortor ut interdum feugiat.","Tecnología","Local","Lumaco","Exploración*Reflexión*Admiración","INDUSTRIA*ACCIÓN POR EL CLIMA*ALIANZAS PARA LOGRAR LOS OBJETIVOS","https://sivi.ufro.cl/img/home/bloque_fc.png"
"Diego Hernández","661384205-1","diegohernández@correo.com","Cambio climático y Proporcionando Soluciones para Necesidades Vitales","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Duis interdum massa ut ullamcorper euismod. Nunc sed justo et nunc cursus venenatis. Pellentesque accumsan lacus ac purus vestibulum dapibus. Morbi at interdum nisi. Duis finibus pretium augue, in gravida dui ullamcorper vel. Maecenas consectetur ultrices lorem vel placerat. Vestibulum posuere eget magna et pretium. Maecenas tincidunt tortor ut interdum feugiat.","Medio Ambiente","Sin Fines de Lucro","Carahue","Conocimiento*Intención*Valores","FIN DE LA POBREZA*ENERGÍA ASEQUIBLE Y NO CONTAMINANTE*REDUCCIÓN DE LAS DESIGUALDADES","https://sivi.ufro.cl/img/home/bloque_fc.png"
"Luis González","787237310-7","luisgonzález@correo.com","Viaje en Atendiendo Necesidades Apremiantes","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Duis interdum massa ut ullamcorper euismod. Nunc sed justo et nunc cursus venenatis. Pellentesque accumsan lacus ac purus vestibulum dapibus. Morbi at interdum nisi. Duis finibus pretium augue, in gravida dui ullamcorper vel. Maecenas consectetur ultrices lorem vel placerat. Vestibulum posuere eget magna et pretium. Maecenas tincidunt tortor ut interdum feugiat.","Igualdad","Cooperativa","Lonquimay","Felicidad*Alegría*Superación","PAZ*SALUD Y BIENESTAR*AGUA Y SANEAMIENTO","https://sivi.ufro.cl/img/home/bloque_fc.png"
"Luis Mena","280773476-3","luismena@correo.com","Libertad y Abordando Necesidades Esenciales","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Duis interdum massa ut ullamcorper euismod. Nunc sed justo et nunc cursus venenatis. Pellentesque accumsan lacus ac purus vestibulum dapibus. Morbi at interdum nisi. Duis finibus pretium augue, in gravida dui ullamcorper vel. Maecenas consectetur ultrices lorem vel placerat. Vestibulum posuere eget magna et pretium. Maecenas tincidunt tortor ut interdum feugiat.","Cultura","Multinacional","Vilcún","Renovación*Salud*Pasión","TRABAJO DECENTE Y CRECIMIENTO ECONÓMICO*INDUSTRIA*HAMBRE CERO","https://sivi.ufro.cl/img/home/bloque_fc.png"
"Gabriel Gutierrez","193919754-2","gabrielgutierrez@correo.com","Exploración y Atendiendo Requerimientos Vitales","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Duis interdum massa ut ullamcorper euismod. Nunc sed justo et nunc cursus venenatis. Pellentesque accumsan lacus ac purus vestibulum dapibus. Morbi at interdum nisi. Duis finibus pretium augue, in gravida dui ullamcorper vel. Maecenas consectetur ultrices lorem vel placerat. Vestibulum posuere eget magna et pretium. Maecenas tincidunt tortor ut interdum feugiat.","Medio Ambiente","Religiosa","Nueva Imperial","Éxito*Inclusión*Humildad","IGUALDAD DE GÉNERO*REDUCCIÓN DE LAS DESIGUALDADES*TRABAJO DECENTE Y CRECIMIENTO ECONÓMICO","https://sivi.ufro.cl/img/home/bloque_fc.png"
"Sofía Rodríguez","621359747-9","sofíarodríguez@correo.com","Libertad y Atendiendo Necesidades Apremiantes","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Duis interdum massa ut ullamcorper euismod. Nunc sed justo et nunc cursus venenatis. Pellentesque accumsan lacus ac purus vestibulum dapibus. Morbi at interdum nisi. Duis finibus pretium augue, in gravida dui ullamcorper vel. Maecenas consectetur ultrices lorem vel placerat. Vestibulum posuere eget magna et pretium. Maecenas tincidunt tortor ut interdum feugiat.","Agricultura","Mixta","Victoria","Naturaleza*Dedicación*Alegría","VIDA SUBMARINA*VIDA DE ECOSISTEMAS TERRESTRES*SALUD Y BIENESTAR","https://sivi.ufro.cl/img/home/bloque_fc.png"
"Ana López","269426663-3","analópez@correo.com","Exploración en Satisfacción de Demandas Apremiantes","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Duis interdum massa ut ullamcorper euismod. Nunc sed justo et nunc cursus venenatis. Pellentesque accumsan lacus ac purus vestibulum dapibus. Morbi at interdum nisi. Duis finibus pretium augue, in gravida dui ullamcorper vel. Maecenas consectetur ultrices lorem vel placerat. Vestibulum posuere eget magna et pretium. Maecenas tincidunt tortor ut interdum feugiat.","Medio Ambiente","Cooperativa","Perquenco","Belleza*Colaboración*Meditación","PRODUCCIÓN Y CONSUMO RESPONSABLES*TRABAJO DECENTE Y CRECIMIENTO ECONÓMICO*FIN DE LA POBREZA","https://sivi.ufro.cl/img/home/bloque_fc.png"
"Michael Roudergue","818664158-2","michaelroudergue@correo.com","Viaje en Satisfaciendo Requisitos Cotidianos","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Duis interdum massa ut ullamcorper euismod. Nunc sed justo et nunc cursus venenatis. Pellentesque accumsan lacus ac purus vestibulum dapibus. Morbi at interdum nisi. Duis finibus pretium augue, in gravida dui ullamcorper vel. Maecenas consectetur ultrices lorem vel placerat. Vestibulum posuere eget magna et pretium. Maecenas tincidunt tortor ut interdum feugiat.","Medio Ambiente","Sin Fines de Lucro","Angol","Naturaleza*Inclusión*Paciencia","ACCIÓN POR EL CLIMA*SALUD Y BIENESTAR*CIUDADES Y COMUNIDADES SOSTENIBLES","https://sivi.ufro.cl/img/home/bloque_fc.png"
"Sofía Rodríguez","982095651-8","sofíarodríguez@correo.com","Cultura y Apoyo en Situaciones Críticas","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Duis interdum massa ut ullamcorper euismod. Nunc sed justo et nunc cursus venenatis. Pellentesque accumsan lacus ac purus vestibulum dapibus. Morbi at interdum nisi. Duis finibus pretium augue, in gravida dui ullamcorper vel. Maecenas consectetur ultrices lorem vel placerat. Vestibulum posuere eget magna et pretium. Maecenas tincidunt tortor ut interdum feugiat.","Medio Ambiente","Tecnológica","Los Sauces","Futuro*Libertad*Cambio climático","FIN DE LA POBREZA*ALIANZAS PARA LOGRAR LOS OBJETIVOS*REDUCCIÓN DE LAS DESIGUALDADES","https://sivi.ufro.cl/img/home/bloque_fc.png"
"Michael Roudergue","741028288-4","michaelroudergue@correo.com","Libertad y Superando Situaciones Cotidianas","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Duis interdum massa ut ullamcorper euismod. Nunc sed justo et nunc cursus venenatis. Pellentesque accumsan lacus ac purus vestibulum dapibus. Morbi at interdum nisi. Duis finibus pretium augue, in gravida dui ullamcorper vel. Maecenas consectetur ultrices lorem vel placerat. Vestibulum posuere eget magna et pretium. Maecenas tincidunt tortor ut interdum feugiat.","Cultura","Regional","Gorbea","Optimismo*Autoestima*Belleza","TRABAJO DECENTE Y CRECIMIENTO ECONÓMICO*FIN DE LA POBREZA*CIUDADES Y COMUNIDADES SOSTENIBLES","https://sivi.ufro.cl/img/home/bloque_fc.png"
"Diego Hernández","369245583-1","diegohernández@correo.com","Armonía y Cobriendo Carencias Emergentes","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Duis interdum massa ut ullamcorper euismod. Nunc sed justo et nunc cursus venenatis. Pellentesque accumsan lacus ac purus vestibulum dapibus. Morbi at interdum nisi. Duis finibus pretium augue, in gravida dui ullamcorper vel. Maecenas consectetur ultrices lorem vel placerat. Vestibulum posuere eget magna et pretium. Maecenas tincidunt tortor ut interdum feugiat.","Medio Ambiente","Comercial","Lonquimay","Agua*Éxito*Esperanza","FIN DE LA POBREZA*HAMBRE CERO*ACCIÓN POR EL CLIMA","https://sivi.ufro.cl/img/home/bloque_fc.png"
"Sofía Rodríguez","539142307-3","sofíarodríguez@correo.com","Familia en Situaciones de Carencia","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Duis interdum massa ut ullamcorper euismod. Nunc sed justo et nunc cursus venenatis. Pellentesque accumsan lacus ac purus vestibulum dapibus. Morbi at interdum nisi. Duis finibus pretium augue, in gravida dui ullamcorper vel. Maecenas consectetur ultrices lorem vel placerat. Vestibulum posuere eget magna et pretium. Maecenas tincidunt tortor ut interdum feugiat.","Salud","Artesanal","Los Sauces","Honestidad*Felicidad*Amor","VIDA DE ECOSISTEMAS TERRESTRES*TRABAJO DECENTE Y CRECIMIENTO ECONÓMICO*ALIANZAS PARA LOGRAR LOS OBJETIVOS","https://sivi.ufro.cl/img/home/bloque_fc.png"
"Juan Pérez","505682959-1","juanpérez@correo.com","Conocimiento para Suplir Necesidades Urgentes","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Duis interdum massa ut ullamcorper euismod. Nunc sed justo et nunc cursus venenatis. Pellentesque accumsan lacus ac purus vestibulum dapibus. Morbi at interdum nisi. Duis finibus pretium augue, in gravida dui ullamcorper vel. Maecenas consectetur ultrices lorem vel placerat. Vestibulum posuere eget magna et pretium. Maecenas tincidunt tortor ut interdum feugiat.","Igualdad","Comercial","Temuco","Naturaleza*Éxito*Familia","ENERGÍA ASEQUIBLE Y NO CONTAMINANTE*CIUDADES Y COMUNIDADES SOSTENIBLES*PRODUCCIÓN Y CONSUMO RESPONSABLES","https://sivi.ufro.cl/img/home/bloque_fc.png"
"Ana López","871711722-8","analópez@correo.com","Viaje en Brindando Asistencia en Necesidad","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Duis interdum massa ut ullamcorper euismod. Nunc sed justo et nunc cursus venenatis. Pellentesque accumsan lacus ac purus vestibulum dapibus. Morbi at interdum nisi. Duis finibus pretium augue, in gravida dui ullamcorper vel. Maecenas consectetur ultrices lorem vel placerat. Vestibulum posuere eget magna et pretium. Maecenas tincidunt tortor ut interdum feugiat.","Educación","Religiosa","Galvarino","Respeto*Paz*Calma","VIDA DE ECOSISTEMAS TERRESTRES*PAZ*EDUCACIÓN DE CALIDAD","https://sivi.ufro.cl/img/home/bloque_fc.png"
"Juan Pérez","496444660-7","juanpérez@correo.com","Viaje en Ayuda en Casos Fundamentales","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Duis interdum massa ut ullamcorper euismod. Nunc sed justo et nunc cursus venenatis. Pellentesque accumsan lacus ac purus vestibulum dapibus. Morbi at interdum nisi. Duis finibus pretium augue, in gravida dui ullamcorper vel. Maecenas consectetur ultrices lorem vel placerat. Vestibulum posuere eget magna et pretium. Maecenas tincidunt tortor ut interdum feugiat.","Tecnología","Transnacional","Freire","Cambio climático*Cambio*Tolerancia","SALUD Y BIENESTAR*FIN DE LA POBREZA*VIDA SUBMARINA","https://sivi.ufro.cl/img/home/bloque_fc.png"
"María García","985765834-2","maríagarcía@correo.com","Cultura y Enfrentando Obstáculos Cruciales","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Duis interdum massa ut ullamcorper euismod. Nunc sed justo et nunc cursus venenatis. Pellentesque accumsan lacus ac purus vestibulum dapibus. Morbi at interdum nisi. Duis finibus pretium augue, in gravida dui ullamcorper vel. Maecenas consectetur ultrices lorem vel placerat. Vestibulum posuere eget magna et pretium. Maecenas tincidunt tortor ut interdum feugiat.","Agricultura","Local","Curacautín","Empoderamiento*Esperanza*Amistad","SALUD Y BIENESTAR*IGUALDAD DE GÉNERO*INDUSTRIA","https://sivi.ufro.cl/img/home/bloque_fc.png"
"Luis González","812208819-9","luisgonzález@correo.com","Exploración en Soluciones para Situaciones Inmediatas","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Duis interdum massa ut ullamcorper euismod. Nunc sed justo et nunc cursus venenatis. Pellentesque accumsan lacus ac purus vestibulum dapibus. Morbi at interdum nisi. Duis finibus pretium augue, in gravida dui ullamcorper vel. Maecenas consectetur ultrices lorem vel placerat. Vestibulum posuere eget magna et pretium. Maecenas tincidunt tortor ut interdum feugiat.","Educación","Nacional","Vilcún","Integridad*Inclusión*Armonía","PRODUCCIÓN Y CONSUMO RESPONSABLES*TRABAJO DECENTE Y CRECIMIENTO ECONÓMICO*FIN DE LA POBREZA","https://sivi.ufro.cl/img/home/bloque_fc.png"
"Diego Hernández","61130418-0","diegohernández@correo.com","Tecnología para la Asistencia en Tiempos de Necesidad","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Duis interdum massa ut ullamcorper euismod. Nunc sed justo et nunc cursus venenatis. Pellentesque accumsan lacus ac purus vestibulum dapibus. Morbi at interdum nisi. Duis finibus pretium augue, in gravida dui ullamcorper vel. Maecenas consectetur ultrices lorem vel placerat. Vestibulum posuere eget magna et pretium. Maecenas tincidunt tortor ut interdum feugiat.","Educación","Nacional","Vilcún","Empatía*Admiración*Sonrisa","FIN DE LA POBREZA*HAMBRE CERO*CIUDADES Y COMUNIDADES SOSTENIBLES","https://sivi.ufro.cl/img/home/bloque_fc.png"
"Diego Hernández","830704760-0","diegohernández@correo.com","Armonía en Atendiendo Necesidades Apremiantes","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Duis interdum massa ut ullamcorper euismod. Nunc sed justo et nunc cursus venenatis. Pellentesque accumsan lacus ac purus vestibulum dapibus. Morbi at interdum nisi. Duis finibus pretium augue, in gravida dui ullamcorper vel. Maecenas consectetur ultrices lorem vel placerat. Vestibulum posuere eget magna et pretium. Maecenas tincidunt tortor ut interdum feugiat.","Cultura","Comanditaria","Vilcún","Superación*Inclusión*Servicio","SALUD Y BIENESTAR*CIUDADES Y COMUNIDADES SOSTENIBLES*ALIANZAS PARA LOGRAR LOS OBJETIVOS","https://sivi.ufro.cl/img/home/bloque_fc.png"
"Diego Hernández","845905851-7","diegohernández@correo.com","Reflejo de la Familia en Apoyo para Necesidades Cruciales","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Duis interdum massa ut ullamcorper euismod. Nunc sed justo et nunc cursus venenatis. Pellentesque accumsan lacus ac purus vestibulum dapibus. Morbi at interdum nisi. Duis finibus pretium augue, in gravida dui ullamcorper vel. Maecenas consectetur ultrices lorem vel placerat. Vestibulum posuere eget magna et pretium. Maecenas tincidunt tortor ut interdum feugiat.","Igualdad","Religiosa","Lumaco","Responsabilidad*Oportunidad*Trabajo","SALUD Y BIENESTAR*ACCIÓN POR EL CLIMA*IGUALDAD DE GÉNERO","https://sivi.ufro.cl/img/home/bloque_fc.png"
"Juan Pérez","184587605-9","juanpérez@correo.com","Cultura en Proporcionando Soluciones Esenciales","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Duis interdum massa ut ullamcorper euismod. Nunc sed justo et nunc cursus venenatis. Pellentesque accumsan lacus ac purus vestibulum dapibus. Morbi at interdum nisi. Duis finibus pretium augue, in gravida dui ullamcorper vel. Maecenas consectetur ultrices lorem vel placerat. Vestibulum posuere eget magna et pretium. Maecenas tincidunt tortor ut interdum feugiat.","Desarrollo","Privada","Collipulli","Serenidad*Tiempo*Naturaleza","TRABAJO DECENTE Y CRECIMIENTO ECONÓMICO*ALIANZAS PARA LOGRAR LOS OBJETIVOS*VIDA SUBMARINA","https://sivi.ufro.cl/img/home/bloque_fc.png"
"Luis González","60232254-5","luisgonzález@correo.com","Exploración en Superando Situaciones Cotidianas","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Duis interdum massa ut ullamcorper euismod. Nunc sed justo et nunc cursus venenatis. Pellentesque accumsan lacus ac purus vestibulum dapibus. Morbi at interdum nisi. Duis finibus pretium augue, in gravida dui ullamcorper vel. Maecenas consectetur ultrices lorem vel placerat. Vestibulum posuere eget magna et pretium. Maecenas tincidunt tortor ut interdum feugiat.","Tecnología","Local","Curacautín","Amor*Superación*Alegría","FIN DE LA POBREZA*HAMBRE CERO*ALIANZAS PARA LOGRAR LOS OBJETIVOS","https://sivi.ufro.cl/img/home/bloque_fc.png"
